_id	Regional	Ano	Mês	Data	Ocorrencia	Solicitacao	Endereco	Bairro	Localidade	Grau_de_Risco	Data_da_Acao	Tipo_da_Acao	Quantidade	Altura	Largura	Area_m
1	Norte	2021	Abril	2021-04-22T00:00:00	""	""	Avenida Chagas Ferreira .982, /@9=	Dois Unidos	Chagas Ferreira	""	2021-04-22T00:00:00	Rocagem				0
2	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Araci, ?_$.	Vasco da Gama 	Alto do Eucalipto	""	2021-04-05T00:00:00	""	1	55	8	440
3	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Araci, `=-[	Vasco da Gama 	Alto do Eucalipto	""	2021-04-05T00:00:00	""	2	20	8	320
4	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Corrego do Beiju, #$[	Nova Descoberta	Nova Descoberta	""	2021-04-05T00:00:00	""	3	20	8	480
5	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Corrego do Beiju, .[?	Nova Descoberta	Nova Descoberta	""	2021-04-05T00:00:00	""	2	20	8	320
6	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Jose Carneiro Lins, #_|/	Nova Descoberta	Nova Descoberta	""	2021-04-05T00:00:00	""	1	35	8	280
7	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	"Rua Macatuba, ""#*9"	Nova Descoberta	Nova Descoberta	""	2021-04-05T00:00:00	""	3	15	8	360
8	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	"Rua Macatuba, +?""]"	Nova Descoberta	Nova Descoberta	""	2021-04-05T00:00:00	""	2	15	8	240
9	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Vinte e Um, #""#~"	Agua Fria	Alto do Pascoal	""	2021-04-05T00:00:00	""				0
10	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Vinte e Um, /@9=	Agua Fria	Alto do Pascoal	""	2021-04-05T00:00:00	""				0
11	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Vinte e Um, ~|}[	Agua Fria	Alto do Pascoal	""	2021-04-05T00:00:00	""				0
12	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Vinte e Um, #^>	Agua Fria	Alto do Pascoal	""	2021-04-05T00:00:00	""				0
13	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Luziania, {})!	Linha do Tiro	Alto da Jaqueira	""	2021-04-05T00:00:00	""				0
14	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Luziania, ^[{	Linha do Tiro	Alto da Jaqueira	""	2021-04-05T00:00:00	""				0
15	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Luziania, .<^&	Linha do Tiro	Alto da Jaqueira	""	2021-04-05T00:00:00	""				0
16	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Luziania, %$<!	Linha do Tiro	Alto da Jaqueira	""	2021-04-05T00:00:00	""				0
17	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Luziania, 9<-%	Linha do Tiro	Alto da Jaqueira	""	2021-04-05T00:00:00	""				0
18	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Nova Brescia, @}>	Linha do Tiro	Corrego do Abdias	""	2021-04-05T00:00:00	""				0
19	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Mirassanta, >#'\	Vasco da Gama 	Vasco da Gama	""	2021-04-05T00:00:00	""	4	15	8	480
20	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Pitarama, $!>=	Vasco da Gama 	Vasco da Gama	""	2021-04-05T00:00:00	""	3	15	8	360
21	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Pitarama, @}>	Vasco da Gama 	Vasco da Gama	""	2021-04-05T00:00:00	""	1	50	8	400
22	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Pitarama, 9<-%	Vasco da Gama 	Vasco da Gama	""	2021-04-05T00:00:00	""	2	15	8	240
23	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	2ª Travessa Ary Peter, @}>	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
24	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	2ª Travessa Ary Peter, $!>=	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
25	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	2ª Travessa Ary Peter, >#'\	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
26	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Ary Peter, ?_$.	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
27	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Ary Peter, `=-[	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
28	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Ary Peter, #$[	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
29	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Ary Peter, .[?	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
30	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Ary Peter, #_|/	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
31	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Alcantil, $!>=	Linha do Tiro	Alto da Jaqueira	""	2021-04-05T00:00:00	""				0
32	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Ary Peter, ""#*9"	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
33	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Ary Peter, #""#~"	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
34	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Ary Peter, /@9=	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
35	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Ary Peter, ~|}[	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
36	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Ary Peter, #^>	Alto Jose Bonifacio 	Corrego do Euclides	R1	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
37	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Barao Camaqua, {})!	Nova Descoberta	Nova Descoberta	""	2021-04-05T00:00:00	""	1	95	8	760
38	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Barao de Camaqua, ^[{	Nova Descoberta	Nova Descoberta	""	2021-04-05T00:00:00	""	2	20	8	320
39	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Barao de Camaqua, .<^&	Nova Descoberta	Nova Descoberta	""	2021-04-05T00:00:00	""	2	20	8	320
40	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Vasco da Gama, %$<!	Vasco da Gama 	Vasco da Gama	""	2021-04-05T00:00:00	""	1	20	8	160
41	Noroeste	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	"Rua Ary Peter, +?""]"	Alto Jose Bonifacio 	Corrego do Euclides	R2	2021-04-05T00:00:00	Mapeamento de Area de Risco				0
42	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Celeste, >#'\	Linha do Tiro	Alto dos Coqueiros	""	2021-04-05T00:00:00	""				0
43	Norte	2021	Abril	2021-04-05T00:00:00	""	Vistoria	Rua Ladeira de Pedra, ?_$.	Agua Fria	Alto do Pascoal	R3	2021-04-05T00:00:00	""				0
44	Norte	2021	Abril	2021-04-05T00:00:00	""	Monitoramento	Rua Divisopolis, `=-[	Dois Unidos	Alto do Capitao	""	2021-04-05T00:00:00	""				0
45	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	"Rua Bismarck de Freitas, ""#*9"	Linha do Tiro	Corrego do Sargento	""	2021-04-05T00:00:00	""	3	20	8	480
46	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	"Rua Bismarck de Freitas, +?""]"	Linha do Tiro	Corrego do Sargento	""	2021-04-05T00:00:00	""	3	20	8	480
47	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	"Rua Bismarck de Freitas, #""#~"	Linha do Tiro	Corrego do Sargento	""	2021-04-05T00:00:00	""	3	20	8	480
48	Norte	2021	Abril	2021-04-05T00:00:00	""	Colocação de Lonas Plásticas	Rua Corrego do Sargento, /@9=	Linha do Tiro	Corrego do Sargento	""	2021-04-05T00:00:00	""	1	10	8	80
